Photo-ID,Cockle-ID,Cassette-ID,Site,Location_UpdatedNames,Date,Width (cm),Height (cm),Notes
48,60,60,Blyn tidelands,Farm,7/6/20,2.675,2.366,was only able to sample 18 for the 7/6/2020 date
49,61,60,Blyn tidelands,Farm,7/6/20,3.144,3.004,
50,62,60,Blyn tidelands,Farm,7/6/20,2.828,2.616,
51,63,60,Blyn tidelands,Farm,7/6/20,3.009,2.88,
52,65,64,Blyn tidelands,Farm,7/6/20,3.974,3.51,
53,66,64,Blyn tidelands,Farm,7/6/20,3.508,3.23,
54,67,64,Blyn tidelands,Farm,7/6/20,3.224,3.178,
55,68,68,Blyn tidelands,Farm,7/6/20,3.517,2.969,
56,NA,NA,NA,Farm,NA,NA,NA,
57,69,68,Blyn tidelands,Farm,7/6/20,3.5,3.198,
58,70,68,Blyn tidelands,Farm,7/6/20,NA,NA,impossible to see the cockle due to all the organisms living on top of it
59,71,68,Blyn tidelands,Farm,7/6/20,2.818,2.544,
60,72,72,Blyn tidelands,Farm,7/6/20,2.662,2.684,
61,73,72,Blyn tidelands,Farm,7/6/20,3.344,3.199,
62,74,72,Blyn tidelands,Farm,7/6/20,2.746,2.679,
63,75,72,Blyn tidelands,Farm,7/6/20,3.346,3.01,
64,76,76,Blyn tidelands,Farm,7/6/20,NA,NA,blurry and hard to see where shell starts
65,77,76,Blyn tidelands,Farm,7/6/20,2.973,2.656,
66,78,76,Blyn tidelands,Farm,7/6/20,3.19,3.157,
67,NA,NA,Suquamish farm,Bags,7/8/20,NA,NA,pic of cockles in a bucket
68,80,80,Suquamish farm,Bags,7/8/20,7.867,6.869,
69,81,81,Suquamish farm,Bags,7/8/20,7.63,7.197,
70,82,82,Suquamish farm,Bags,7/8/20,6.536,6.427,
71,83,83,Suquamish farm,Bags,7/8/20,5.418,4.761,
72,84,84,Suquamish farm,Bags,7/8/20,6.025,5.698,
73,85,85,Suquamish farm,Bags,7/8/20,6.611,6.574,
74,86,86,Suquamish farm,Bags,7/8/20,6.133,6.152,
75,87,87,Suquamish farm,Bags,7/8/20,6.172,5.855,
76,88,88,Suquamish farm,Bags,7/8/20,7.198,6.809,
77,89,89,Suquamish farm,Bags,7/8/20,6.799,6.061,
78,90,90,Suquamish farm,Bags,7/8/20,6.786,6.37,
79,91,91,Suquamish farm,Bags,7/8/20,6.074,5.337,
80,92,92,Suquamish farm,Bags,7/8/20,5.496,5.563,
81,93,93,Suquamish farm,Bags,7/8/20,6.391,6.999,
82,94,94,Suquamish farm,Bags,7/8/20,7.234,6.286,
83,95,95,Suquamish farm,Bags,7/8/20,6.653,5.942,
