HistoPic-ID,Date,Location,Cassette_ID,Clam-ID,Width (cm),Height (cm),Female Tissue Grade,Female Stage,Male Tissue Grade,Male Stage,Notes
Slide_76_4_40x_b,7/6/2020,Farm,76,78,3.190,3.157,2,Developing Gametes,3,Ripe ,
Slide_82_40x,7/8/2020,Bags,82,82,6.536,6.427,2,Developing Gametes,2,Developing Gametes,
Slide_83_40x,7/8/2020,Bags,83,83,5.418,4.761,NA,,2,Developing Gametes,
Slide_84_40x,7/8/2020,Bags,84,84,6.025,5.698,2,Developing Gametes,2,Developing Gametes,
Slide_85_40x,7/8/2020,Bags,85,85,6.611,6.574,3,Ripe ,3,Ripe ,
Slide_86_1_40x,7/8/2020,Bags,86,86,6.133,6.152,2,Developing Gametes,2,Developing Gametes,
Slide_86_2_40x,7/8/2020,Bags,86,86,6.133,6.152,3,Ripe ,3,Ripe ,
Slide_87_40x,7/8/2020,Bags,87,87,6.172,5.855,3,Ripe ,3,Ripe ,
Slide_88_40x,7/8/2020,Bags,88,88,7.198,6.809,2,Developing Gametes,2,Developing Gametes,
Slide_89_40x,7/8/2020,Bags,89,89,6.799,6.061,2,Developing Gametes,2,Developing Gametes,
